course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Ocean Course at Kiawah Island",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.5894,-0.005,-0.02,-0.056,-0.017,36.7,undefined,undefined,undefined,0.0616,0.532,-0.089,-0.044,-0.007,-0.04,-0.288,-0.007,-0.012,0.004,undefined,undefined
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.014,-0.02,-0.027,-0.003,28.9,undefined,undefined,undefined,0.0111,0.5615,-0.049,-0.017,0.005,-0.034,-0.021,-0.005,-0.025,-0.019,undefined,undefined
"Torrey Pines Golf Course (South Course)",72,7584,486,194,1.13,0.09,0.17,-0.24,288.9,15.6,0.531,-0.02,0.007,0.003,-0.027,26.6,undefined,undefined,undefined,0.0171,0.6134,-0.006,0.007,0.027,-0.007,0.001,-0.012,-0.048,-0.009,undefined,undefined
"Quail Hollow Club (PGA Championship)",71,7488,476,208,2.84,0.23,0.25,-0.26,290.5,19.1,0.5788,-0.017,-0.052,-0.013,0.013,31.4,undefined,undefined,undefined,0.0469,0.5345,-0.067,0.002,-0.05,-0.095,0.008,0,-0.038,-0.027,undefined,undefined
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006,35.2,undefined,undefined,undefined,0.0584,0.6416,0.014,0.025,0.008,-0.002,-0.002,0.006,0.012,0.004,undefined,undefined
"Medinah Country Club (No. 3)",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.6228,0.009,0.033,0.021,0.016,28.1,undefined,undefined,undefined,0.0147,0.6695,0.012,0.025,0.023,0.001,0.107,0.009,0.022,-0.001,undefined,undefined
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5198,0.009,-0.009,-0.054,-0.046,35.9,undefined,undefined,undefined,0.0578,0.5948,-0.041,-0.06,0.018,-0.029,-0.006,0.007,0.015,0.006,undefined,undefined
"Augusta National Golf Club",72,7451,480,182,1.94,0.16,0.24,-0.27,291.7,21.2,0.7093,-0.022,-0.08,-0.05,0.007,50.7,undefined,undefined,undefined,0.0262,0.5792,-0.063,-0.045,-0.104,-0.012,-0.032,-0.002,-0.031,-0.051,undefined,undefined
"Wilmington Country Club",71,7424,475,194,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019,27.8,undefined,undefined,undefined,0,0.6523,-0.015,0.009,-0.009,-0.024,0.05,-0.001,0.03,0.001,undefined,undefined
"Caves Valley Golf Club",72,7424,471,209,-1.9,0.04,-0.05,-0.39,290.2,17,0.6509,0.011,0.008,0.059,0.042,33.1,undefined,undefined,undefined,0.0094,0.696,0.024,0.072,0.016,-0.017,0.03,0.003,0.014,0.022,undefined,undefined
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032,44.2,undefined,undefined,undefined,0.0388,0.5363,-0.052,-0.027,-0.041,-0.04,-0.029,-0.005,-0.027,0,undefined,undefined
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015,26.7,undefined,undefined,undefined,0.0173,0.6881,0.053,0.036,0.03,0.029,0.017,0.001,-0.027,-0.008,undefined,undefined
"Quail Hollow Club",71,7414,474,195,0.85,0.14,0.12,-0.31,296.6,20.4,0.5265,-0.01,0.006,-0.015,0.02,31.2,undefined,undefined,undefined,0.043,0.6019,-0.025,-0.011,-0.006,0.023,0.013,0.001,-0.017,-0.023,undefined,undefined
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069,31.9,undefined,undefined,undefined,0.0032,0.5063,-0.008,-0.018,-0.049,-0.115,-0.022,-0.015,-0.024,-0.058,undefined,undefined
"Congaree Golf Club",71,7364,473,188,0.08,0.1,0.05,-0.29,301.2,20.9,0.7075,-0.005,-0.041,-0.009,0.066,51.4,undefined,undefined,undefined,0.0346,0.6449,-0.025,-0.001,-0.047,-0.03,-0.053,0,-0.001,-0.02,undefined,undefined
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.5289,0.006,-0.077,0.007,0.006,30.8,undefined,undefined,undefined,0.0411,0.63,0.002,0.01,-0.051,-0.091,-0.098,0.011,0.016,-0.015,undefined,undefined
"Plantation Course at Kapalua",73,7360,453,190,-2.34,0.05,-0.04,-0.51,293.9,20.4,0.7063,-0.006,0.011,0.016,0.087,49,undefined,undefined,undefined,0.0647,0.764,-0.003,0.03,0.004,0.027,0.011,0,-0.007,-0.015,undefined,undefined
"The Summit Club",72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.4,19.8,0.6491,0,0.048,0.085,0.056,37,undefined,undefined,undefined,0.0543,0.7235,0.09,0.082,0.054,0.084,-0.009,0,-0.003,0.004,undefined,undefined
"Bethpage Black",71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.5699,-0.01,-0.001,-0.027,-0.008,30.6,undefined,undefined,undefined,0.0059,0.5818,-0.023,-0.028,-0.009,0.002,-0.005,-0.003,-0.023,-0.012,undefined,undefined
"Arnold Palmer's Bay Hill Club &amp; Lodge",72,7352,465,209,1.04,0.17,0.15,-0.29,280.8,18.5,0.6115,0,0.002,-0.047,-0.032,34.6,undefined,undefined,undefined,0.0575,0.5754,-0.048,-0.047,0.006,-0.061,0.025,0.001,0.004,-0.006,undefined,undefined
"Muirfield Village Golf Club",72,7347,471,188,0.98,0.18,0.13,-0.25,286.4,17.2,0.6362,0,-0.052,-0.044,-0.01,33.9,undefined,undefined,undefined,0.0581,0.5884,-0.033,-0.05,-0.028,-0.082,-0.046,0.002,-0.001,-0.001,undefined,undefined
"Oak Hill Country Club",70,7339,469,196,2.86,0.16,0.19,-0.03,288.5,20.6,0.4525,-0.005,-0.042,-0.015,-0.072,28,undefined,undefined,undefined,0.0358,0.5652,-0.001,-0.022,0.007,-0.082,-0.053,-0.004,-0.018,0.003,undefined,undefined
"Firestone CC (South)",70,7337,467,200,1.48,0.09,0.12,-0.18,298.8,22.1,0.4636,0.002,-0.005,-0.014,0.012,23.5,undefined,undefined,undefined,0.0013,0.5544,-0.041,0.005,-0.007,-0.002,-0.005,0.002,0.005,-0.001,undefined,undefined
"The Los Angeles Country Club (North Course)",70,7335,482,213,1.9,0.17,0.15,-0.17,294.8,19.7,0.6615,-0.015,-0.023,0.01,0.033,43,undefined,undefined,undefined,0.0097,0.6078,-0.04,0.035,-0.023,-0.05,-0.114,-0.001,-0.029,-0.026,undefined,undefined
"The Concession Golf Club",72,7327,465,204,0.22,0.15,0.07,-0.28,285.8,18,0.6994,0.001,-0.03,-0.002,-0.029,50.3,undefined,undefined,undefined,0.1041,0.6333,-0.02,0.006,-0.072,0.067,0,0.007,0.006,-0.013,undefined,undefined
"Vidanta Vallarta",71,7325,494,181,-1.28,0.02,0.03,-0.41,298.9,17.4,0.6459,0.005,0.055,0.018,0.028,41,undefined,undefined,undefined,0.0677,0.6741,0.044,0.01,0.036,0.084,0.028,0.001,0.007,0.01,undefined,undefined
"Detroit Golf Club",72,7320,470,183,-1.94,0.01,-0.04,-0.38,297,20,0.6581,-0.004,0.01,0.028,0.046,35.7,undefined,undefined,undefined,0.0083,0.7284,0.002,0.049,0.027,-0.012,0.018,-0.002,-0.008,-0.004,undefined,undefined
"Golf Club of Houston",72,7319,468,192,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6321,0.01,0.039,0.015,-0.049,32.9,undefined,undefined,undefined,0.0987,0.6954,0.035,0.004,0.034,0.072,0.022,0.006,0.015,0.013,undefined,undefined
"TPC San Antonio (Oaks Course)",72,7313,469,188,0.37,0.06,0.09,-0.2,290,19,0.5619,-0.002,-0.003,-0.028,-0.02,31.3,undefined,undefined,undefined,0.023,0.5975,-0.039,-0.022,-0.009,0.052,-0.05,0.001,0.004,-0.013,undefined,undefined
"Whistling Straits",72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.5997,0.009,-0.074,-0.028,0.006,29.6,undefined,undefined,undefined,0.0196,0.6018,-0.075,0.002,-0.018,-0.074,-0.241,0.005,0.034,-0.007,undefined,undefined
"Muirfield Village Golf Club (Workday)",72,7311,470,187,0.07,0.16,0.05,-0.27,292.2,19.4,0.5903,0.003,-0.052,-0.018,-0.007,32.9,undefined,undefined,undefined,0.0706,0.6304,0.001,-0.029,-0.028,-0.069,-0.058,0,0.008,0.004,undefined,undefined
"Albany GC",72,7309,490,187,-1.06,0.02,0.04,-0.3,302.4,17.7,0.6638,0.024,-0.065,0,0.032,39.2,undefined,undefined,undefined,0.0843,0.584,-0.002,0,-0.084,-0.021,-0.094,-0.013,0.084,0.023,undefined,undefined
"TPC Louisiana",72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.69,0.009,0.015,0.054,0.002,34.7,undefined,undefined,undefined,0.0515,0.7041,0.043,0.06,0.007,0.082,0.015,0,0.021,0.015,undefined,undefined
"Eagle Point Golf Club",72,7291,470,176,0.7,0.11,0.07,-0.11,284.8,16.6,0.6022,-0.002,0.002,-0.053,-0.013,33,undefined,undefined,undefined,0.0305,0.6056,-0.038,-0.062,0.014,0.012,-0.063,0.001,0.014,-0.02,undefined,undefined
"Ridgewood CC",71,7290,467,190,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.008,-0.023,0.026,-0.03,32.6,undefined,undefined,undefined,0.0104,0.6491,0.003,0.035,0,-0.059,-0.008,0.004,0.017,0.006,undefined,undefined
"Club de Golf Chapultepec",71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.5711,-0.024,0.006,0.006,0.061,31,undefined,undefined,undefined,0.0152,0.6326,-0.052,0.036,0.006,0.034,-0.078,-0.013,-0.036,-0.032,undefined,undefined
"Olympia Fields Country Club (North Course)",70,7283,464,196,1.54,0.11,0.12,-0.16,293.6,20.9,0.5079,-0.004,-0.007,-0.004,-0.031,26.4,undefined,undefined,undefined,0.0238,0.6046,-0.035,0.016,0.007,-0.048,0.035,0.001,-0.006,-0.01,undefined,undefined
"Baltusrol GC",70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.5881,-0.005,0.018,0.048,-0.022,30.2,undefined,undefined,undefined,0.0336,0.6803,0.009,0.064,0.018,-0.027,0.05,-0.002,-0.021,0.002,undefined,undefined
"East Lake Golf Club",70,7280,461,205,0.57,0.13,0.08,-0.46,290.9,16.3,0.54,0.012,0.004,0.017,-0.002,24.4,undefined,undefined,undefined,0.0183,0.6135,0.018,0.017,0.014,-0.023,0.031,0.01,0.022,0.008,undefined,undefined
"TPC Scottsdale (Stadium Course)",71,7274,467,183,-0.3,0.05,0.05,-0.35,299.2,17.8,0.5616,0.006,-0.006,-0.001,0.016,31.6,undefined,undefined,undefined,0.0785,0.6595,-0.006,0.001,-0.016,0.037,-0.017,0.002,0.008,0.01,undefined,undefined
"Royal Liverpool",71,7273,467,182,1.87,0.12,0.18,-0.21,275.7,22.1,0.522,0.014,-0.037,-0.037,-0.111,30,undefined,undefined,undefined,0.0373,0.5724,-0.078,-0.022,0,-0.029,-0.182,0.001,0.025,0.028,undefined,undefined
"Robert Trent Jones GC",71,7265,465,187,-0.82,0.01,0,-0.29,285.6,17.6,0.6464,-0.004,-0.026,0.046,0.033,29.9,undefined,undefined,undefined,0.0439,0.714,0.036,0.051,-0.021,-0.015,-0.037,0.005,-0.011,-0.012,undefined,undefined
"TPC Craig Ranch (Par 71)",71,7257,463,195,-2.57,-0.01,-0.08,-0.54,296.6,16.5,0.6157,0.017,0.054,0.05,0.039,37.1,undefined,undefined,undefined,0.03,0.7034,0.053,0.049,0.054,0.084,0.001,0.005,0.033,0.025,undefined,undefined
"TPC Craig Ranch",72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.7,16.4,0.6408,0.009,0.047,0.046,0.032,38.5,undefined,undefined,undefined,0.0268,0.7074,0.02,0.058,0.046,0.06,0.032,0.003,0.013,0.019,undefined,undefined
"Bellerive CC",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6484,0.004,0.004,0.033,0.003,34.6,undefined,undefined,undefined,0.0527,0.65,0.032,0.034,0.015,-0.039,0.019,-0.002,0.013,0.004,undefined,undefined
"St. Andrews Links (Old Course)",72,7247,430,184,-0.29,0.16,0,-0.33,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07,71.9,undefined,undefined,undefined,0.0297,0.7752,-0.066,-0.047,-0.108,-0.004,-0.348,-0.003,0.061,-0.027,undefined,undefined
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.6488,-0.013,-0.019,-0.001,0.021,37,undefined,undefined,undefined,0.0264,0.6293,-0.034,0.018,-0.009,-0.073,-0.009,-0.004,-0.012,-0.029,undefined,undefined
"The Riviera Country Club",71,7245,463,191,0.59,0.09,0.13,-0.42,286.6,19.7,0.5166,-0.017,0.009,0.007,-0.029,34,undefined,undefined,undefined,0.0064,0.5555,-0.006,0.012,0.004,0.048,-0.059,-0.011,-0.035,-0.011,undefined,undefined
"Oakdale Golf &amp; Country Club",72,7231,445,188,-0.76,-0.02,0.03,-0.37,282.4,19.2,0.5556,0.004,-0.009,0.001,-0.035,29.8,undefined,undefined,undefined,0.0121,0.6374,0.017,-0.012,0.019,-0.054,0.036,-0.001,0.003,0.014,undefined,undefined
"TPC Twin Cities",71,7213,462,191,-1.13,0,-0.01,-0.34,292.5,16.7,0.6392,0.013,0.011,0.022,0.009,35.4,undefined,undefined,undefined,0.0763,0.7218,0.032,0.016,0.023,0.01,-0.035,0.004,0.012,0.027,undefined,undefined
"The Country Club of Jackson",72,7209,462,186,-1.44,0.01,-0.03,-0.3,287.5,17.9,0.5465,0.001,0.018,0.013,0,29,undefined,undefined,undefined,0.0187,0.7008,0.025,0.005,0.004,0.028,0.049,0,-0.002,0.006,undefined,undefined
"Liberty National Golf Club",71,7201,460,190,-0.3,0.05,0.07,-0.43,286.4,17.2,0.6609,0.008,0.019,0.015,-0.023,36.8,undefined,undefined,undefined,0.1028,0.6086,0.008,0.018,0.006,-0.016,0.053,0.005,0.015,0.008,undefined,undefined
"Glen Abbey GC",72,7197,466,168,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5168,0.007,0.006,-0.047,0.032,31.3,undefined,undefined,undefined,0.0241,0.6294,-0.01,-0.074,0.016,0.02,-0.023,0.005,0.016,0.001,undefined,undefined
"TPC Harding Park",70,7180,457,197,1.03,0.12,0.11,-0.38,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009,28.7,undefined,undefined,undefined,0.0126,0.5909,-0.03,0.007,0.004,-0.048,-0.019,0.005,0.032,-0.002,undefined,undefined
"Pete Dye Stadium Course",72,7149,457,187,-1.59,0.09,-0.06,-0.34,281.8,16.7,0.5965,0.01,0.041,0.006,-0.02,33.8,undefined,undefined,undefined,0.0438,0.6735,0.046,-0.019,0.043,0.079,-0.147,0.004,0.017,0.016,undefined,undefined
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6299,0.001,-0.013,-0.005,0.012,35.9,undefined,undefined,undefined,0.0195,0.635,-0.009,-0.004,-0.022,-0.018,-0.016,0,0.002,0.002,undefined,undefined
"Keene Trace Golf Club (Champions Course)",72,7143,456,188,-3.14,-0.03,-0.07,-0.58,293.9,18.1,0.6231,0.001,0.02,0.038,0.034,34.7,undefined,undefined,undefined,0.0445,0.7427,0.049,0.032,0.027,0.021,0,0.002,0.004,-0.001,undefined,undefined
"TPC Sawgrass (THE PLAYERS Stadium Course)",72,7121,459,178,0.77,0.15,0.13,-0.3,280.8,18.5,0.6004,-0.006,-0.033,-0.046,-0.044,30.7,undefined,undefined,undefined,0.058,0.6276,-0.069,-0.031,-0.031,-0.048,-0.039,0,-0.005,-0.016,undefined,undefined
"Trinity Forest Golf Club",71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059,59.9,undefined,undefined,undefined,0.0427,0.7615,0.027,0.048,-0.012,0.026,-0.023,-0.003,-0.011,0.005,undefined,undefined
"TPC Deere Run",71,7119,455,186,-1.76,-0.04,-0.04,-0.37,290.2,18.3,0.6962,0.011,-0.007,0.026,0.046,38.4,undefined,undefined,undefined,0.0252,0.7218,0.027,0.025,-0.022,-0.005,0.027,0.004,0.02,0.013,undefined,undefined
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6592,0.005,0.008,0.044,0.029,36.6,undefined,undefined,undefined,0.0461,0.6983,0.034,0.052,0.031,-0.006,-0.025,0.004,0.002,0.008,undefined,undefined
"RTJ Trail (Grand National)",71,7095,453,190,-2.13,0.01,-0.06,-0.51,282.9,17,0.6688,-0.006,0.03,0.058,0.037,37.5,undefined,undefined,undefined,0.0136,0.7379,0.093,0.041,-0.029,0.064,0.091,0.001,-0.008,-0.017,undefined,undefined
"Silverado Resort and Spa (North Course)",72,7092,452,190,-0.98,0.09,0,-0.33,286.8,21.2,0.5135,-0.003,-0.012,-0.004,-0.01,26.4,undefined,undefined,undefined,0.0178,0.6848,0.001,-0.008,-0.019,-0.015,0.007,-0.001,-0.005,-0.005,undefined,undefined
"TPC Southwind",70,7088,456,175,0.17,0.04,0.07,-0.4,289.7,17.5,0.5629,0.007,0.003,-0.009,-0.003,29.2,undefined,undefined,undefined,0.0426,0.6024,0.005,-0.017,0,-0.006,0.026,0.003,0.016,0.007,undefined,undefined
"Innisbrook Resort (Copperhead Course)",71,7082,469,199,0.71,0.12,0.11,-0.23,276.9,17.2,0.571,-0.004,0.02,-0.024,-0.061,27.9,undefined,undefined,undefined,0.0212,0.5721,-0.028,-0.023,0.023,0.023,0.009,0,-0.013,-0.005,undefined,undefined
"The Renaissance Club",70,7077,477,177,0.83,0.11,0.11,-0.27,294.2,20.5,0.5131,-0.016,0.079,-0.028,-0.02,32.3,undefined,undefined,undefined,0.0063,0.6202,-0.04,-0.022,0.07,0.107,-0.01,-0.021,-0.028,0.003,undefined,undefined
